,N_omega_500,N_pr,N_prQ,N_pr_sc,N_pr_scOGS09,N_pr_scOGS09ad,N_pr_scRH,N_pr_scRHad,N_qvstar_s,bias_sc,bias_scOGS09,bias_scOGS09ad,bias_scRH,bias_scRHad,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr,norm_var_pr_I25,norm_var_pr_I75,norm_var_pr_Ibnd,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,percentiles_omega_500,percentiles_pr,percentiles_pr_sc,percentiles_pr_scOGS09,percentiles_qvstar_s,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_omega_500,ranks_pr,ranks_pr_sc,ranks_pr_scOGS09,ranks_qvstar_s,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6157885029954855e-09,,-0.00010487451148405261,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4904413726242725e-05,-0.021120633963198455,1.4904413726242725e-05,,-3.3382883257332616e-05,0.016524898294701378,,,,,,,,,,,,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,616.0,474.0,,0.0,613.0,612.0,612.0,613.0,462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0049643156588042e-05,-0.009363881314620237,3.0049643156588042e-05,,-9.17957374699604e-06,0.018565133810549424,,,,,,,,,,,,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,307.0,295.0,,0.0,289.0,284.0,293.0,281.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.413884404858573e-05,0.00119810326445585,4.413884404858573e-05,,9.096022540740876e-06,0.019586393644181833,,,,,,,,,,,,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,247.0,248.0,,0.0,245.0,266.0,245.0,268.0,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.543919332083312e-05,0.00945459522798378,5.543919332083312e-05,,2.3633561859598766e-05,0.020164995610392315,,,,,,,,,,,,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,215.0,200.0,,0.0,217.0,211.0,213.0,216.0,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.327299573212846e-05,0.015737673224764794,6.327299573212846e-05,,3.709683221466813e-05,0.02062295558656,,,,,,,,,,,,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,147.0,153.0,,0.0,163.0,142.0,162.0,138.0,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.043715557351264e-05,0.021344298034746165,7.043715557351264e-05,,4.831245509280798e-05,0.021309851817433174,,,,,,,,,,,,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,129.0,134.0,,0.0,120.0,138.0,121.0,136.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.645873028828944e-05,0.02587899746331385,7.645873028828944e-05,,5.835692506827654e-05,0.02197265920399305,,,,,,,,,,,,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,102.0,97.0,97.0,0.0,100.0,93.0,98.0,98.0,84.0,,0.01177103866658203,0.01040539157268045,0.014317713943322707,0.012100888723269256,0.12902635861538572,0.016953893166677322,-0.00028743449350710794,0.0726316862989566,-0.033907786333354645,0.19150945773432676,0.1405472951806998,0.010982181216384923,0.0015435158651471886,0.005832114825400405,-0.02157667537742489,0.12902635861538572,0.1405472951806998,0.0042236239867104,1.5899279642200894e-08,-7.932226421993113e-06,-0.00010642295221509056,0.001256903229948454,0.1713705154155703,0.15623737171726074,0.2321890446549965,0.2321890446549965,0.20694238864229683,0.26593384386848606,0.19056103870926533,0.12868096512713917,0.14146133092555827,0.17188371285403323,0.22850735520683435,0.2606116695887591,0.1953512789865385,0.15623737171726074,0.2321890446549965,0.1713705154155703,,,,-0.022886269005979915,8.241271183519232e-05,0.030007791208672578,8.241271183519232e-05,,6.820056577718838e-05,0.02275669896867201,4.8312435926162586e-05,4.774374837479896e-05,5.040590729745702e-05,4.988141409445075e-05,5.429876662302701e-05,5.352133241504327e-05,5.5414604637063895e-05,5.4744038672706825e-05,,,0.02044328400049083,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,303.7251892089844,7.36160462481348e-05,5.5414604637063895e-05,4.830224631014411e-10,6.207139152598723e-10,4.447868940356153e-10,3.269468686670225e-10,3.5941865323969647e-10,4.3671448715794367e-10,6.73721044743295e-10,7.683759945000747e-10,5.759651266000617e-10,4.797703474486244e-10,7.130011046875855e-10,5.26240878348664e-10,,,,4.589759501855001e-06,1.498120665550232,5.4744038672706825e-05
9,81.0,79.0,79.0,0.0,85.0,74.0,88.0,72.0,83.0,,0.007406192514658955,0.006681748272259531,0.009615227649116997,0.008081107062959387,0.0978075230092105,0.012431025754424797,-0.00015453040130717258,0.059932343985755275,-0.024862051508849594,0.154883398988089,0.10941881271297217,0.00950842376083583,0.0010404004386824703,0.013825917490601483,-0.0296631176678402,0.0978075230092105,0.10941881271297217,0.004225910473477051,1.965279160045783e-08,-7.118499500611356e-06,-0.00021491367890198588,0.0036115827209628948,0.15631967314231993,0.18910113958350863,0.19087911740760707,0.19087911740760707,0.1524219312444775,0.16516299675760612,0.16320972843373957,0.11094887147534736,0.1972343804414267,0.15944897736158178,0.1377762918156997,0.13897963161773247,0.16553849491982162,0.18910113958350863,0.19087911740760707,0.15631967314231993,,,,-0.027735989116263866,8.812742315655288e-05,0.03356506711224981,8.812742315655288e-05,,7.48997193230017e-05,0.023563994952085186,5.761876221877364e-05,5.719202657332505e-05,5.946832322420874e-05,5.907097085825121e-05,6.4952671141e-05,6.432813642156106e-05,6.55522446349651e-05,6.502250992785264e-05,,,0.020646090869049553,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,303.7458801269531,8.417426143260575e-05,6.55522446349651e-05,5.060288861823896e-10,5.483282268202148e-10,5.418435288094268e-10,3.9236862776811084e-10,6.975157311058519e-10,5.638883533871163e-10,5.812574382335481e-10,5.863341477416664e-10,6.983819945948666e-10,8.125858973712467e-10,8.202260401481927e-10,6.717207635918953e-10,,,,4.053070868935903e-06,1.4993401765823364,6.502250992785264e-05
